Program,Signal,No Signal,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG,City,State,Region
University of Minnesota/North Memorial Hospital Program,0.42,0.1,0.95,0.1,0.45,0.15,0.05,0.01,Minneapolis,MN,West North Central
University of Minnesota/St John's Hospital Program,0.75,0.21,0.97,0.2,0.7,0.31,0.07,0.01,St. Paul,MN,West North Central
University of Minnesota/University of Minnesota Medical Center Program,0.7,0.12,0.58,0.17,0.41,0.21,0.05,0.02,Minneapolis,MN,West North Central
University of Minnesota/Woodwinds Hospital Program,0.63,0.24,1,0.21,0.67,0.34,0.05,0.01,St. Paul,MN,West North Central
University of Mississippi Medical Center Program,0.37,0.12,0.81,0.12,0.69,0.67,0.09,0.05,Jackson,MS,East South Central
University of Missouri-Columbia Program,0.59,0.3,0.77,0.24,0.77,0.47,0.04,0.07,Columbia,MO,West North Central
University of Missouri-Columbia School of Medicine Program,0.38,0.19,0.8,0.1,0.65,0.38,0.06,0,Sedalia,MO,West North Central
University of Missouri-Columbia School of Medicine/Capital Region Medical Center Program,0.31,0.21,0.64,0.13,0.38,0.38,0.07,0.14,JEFFERSON CITY,MO,West North Central
University of Missouri-Kansas City School of Medicine Program,0.71,0.34,0.66,0.33,0.58,0.47,0.16,0.13,Kansas City,MO,West North Central
University of Nebraska Medical Center College of Medicine Program,0.65,0.17,0.92,0.19,0.42,0.34,0.02,0,Omaha,NE,West North Central
University of Nebraska Medical Center College of Medicine Rural Program,-,-,-,-,-,-,-,-,Omaha,NE,West North Central
University of Nevada Reno School of Medicine Program,0.53,0.23,0.86,0.23,0.77,0.6,0.02,0,Reno,NV,Mountain
University of New Mexico School of Medicine (Santa Fe) Rural Program,0.52,0.18,0.83,0.18,0.53,0.37,0.08,0.04,Santa Fe,NM,Mountain
University of New Mexico School of Medicine (Shiprock) Program,0.38,0.2,0.67,0.19,0.68,0.43,0.05,0.06,Shiprock,NM,Mountain
University of New Mexico School of Medicine Program,0.61,0.26,0.76,0.28,0.58,0.22,0.03,0.01,Albuquerque,NM,Mountain
University of North Carolina Hospitals Program,0.44,0.1,0.62,0.15,0.26,0.13,0,0,Chapel Hill,NC,South Atlantic
University of North Dakota (Bismarck) Program,0.16,0.05,0.88,0.05,0.61,0.35,0.05,0.03,Bismarck,ND,West North Central
University of North Dakota (Minot) Program,0.15,0.22,0.33,0.21,0.29,0.17,0.18,0.23,Minot,ND,West North Central
University of North Dakota School of Medicine and Health Sciences (Hettinger) Program,0.08,0.04,0.67,0.04,0.29,0.2,0.03,0.03,Bismarck,ND,West North Central
University of Oklahoma Health Sciences Center Program,0.75,0.31,0.93,0.3,0.73,0.55,0.09,0.03,Oklahoma City,OK,West South Central
University of Oklahoma School of Community Medicine (Tulsa) Program,0.53,0.14,0.89,0.14,0.61,0.56,0.01,0.02,Tulsa,OK,West South Central
University of Pennsylvania Health System Program,0.61,0.09,0.27,0.18,0.35,0.02,0,0,Philadelphia,PA,Middle Atlantic
University of Puerto Rico Program,0.39,0.06,0.48,0.1,0.42,0,0.14,0.03,Loiza,PR,South Atlantic
University of Rochester/Highland Hospital of Rochester Program,0.57,0.17,0.63,0.18,0.63,0.47,0,0,Rochester,NY,Middle Atlantic
University of South Florida Morsani (Morton Plant Mease Health Care) Program,0.45,0.14,0.46,0.14,0.5,0.13,0,0,Clearwater,FL,South Atlantic
University of South Florida Morsani College of Medicine Program,-,-,-,-,-,-,-,-,Tampa,FL,South Atlantic
University of Tennessee (Jackson) Program,0.24,0.07,0.29,0.07,0.3,0.12,0.04,0,Jackson,TN,East South Central
University of Tennessee College of Medicine at Chattanooga Program,-,-,0.35,0.19,0.55,0.2,0.04,0,Chattanooga,TN,East South Central
University of Tennessee College of Medicine at Murfreesboro Program,0.49,0.22,0.53,0.21,0.72,0.33,0,0,Murfreesboro,TN,East South Central
University of Tennessee Medical Center at Knoxville Program,0.44,0.35,0.39,0.36,0.76,0.27,0,0,Knoxville,TN,East South Central
University of Tennessee/Saint Francis Program,0.32,0.44,0.67,0.42,0.64,0.63,0.25,0,Memphis,TN,East South Central
University of Texas at Austin Dell Medical School Program,-,-,-,-,-,-,-,-,Austin,TX,West South Central
University of Texas Health Science Center at Houston Program,0.34,0.17,0.66,0.11,0.58,0.35,0,0,Houston,TX,West South Central
University of Texas Health Science Center at Tyler (Athens) Program,0.5,0.19,0.57,0.1,0.46,0.43,0.01,0.01,Athens,TX,West South Central
University of Texas Health Science Center at Tyler Program,0.56,0.25,0.54,0.17,0.53,0.35,0.04,0.05,Tyler,TX,West South Central
University of Texas Health Science Center at Tyler Rural Program,0.33,0.22,0.88,0.12,0.85,0.74,0,0,Pittsburg,TX,West South Central
University of Texas Health Science Center San Antonio Joe and Teresa Lozano Long School of Medicine Program,0.36,0.09,0.49,0.07,0.38,0.2,0.09,0.02,San Antonio,TX,West South Central
University of Texas Medical Branch Hospitals Program,0.33,0.18,0.68,0.06,0.51,0.38,0.01,0,Galveston,TX,West South Central
University of Texas RGV (MMC) Program,-,-,-,-,-,-,-,-,McAllen,TX,West South Central
University of Texas Rio Grande Valley (Knapp) Program,-,-,0.13,0.07,0.11,0.09,0.1,0.05,Mercedes,TX,West South Central
University of Texas Southwestern Medical Center Program,0.42,0.2,0.75,0.12,0.57,0.28,0,0.04,Dallas,TX,West South Central
University of Toledo Program,0.21,0.24,0.94,0.18,0.56,0.51,0.09,0.03,Toledo,OH,East North Central
University of Utah Health Program,0.59,0.33,1,0.36,0.61,0.3,0.01,0.02,Salt Lake City,UT,Mountain
University of Vermont Health Network-Champlain Valley Physicians Hospital Program,0.31,0.15,0.69,0.14,0.74,0.7,0.09,0.06,Plattsburgh,NY,Middle Atlantic
University of Vermont Medical Center Program,0.64,0.22,1,0.26,0.5,0.22,0,0,Milton,VT,New England
University of Virginia Medical Center Program,0.72,0.26,0.49,0.29,0.58,0.22,0.1,0.04,Charlottesville,VA,South Atlantic
University of Washington Program,-,-,0.44,0.18,0.29,0.08,0.01,0,Seattle,WA,Pacific
University of Washington School of Medicine Rural Program,0.52,0.14,0.69,0.12,0.5,0.1,0,0,Chelan,WA,Pacific
University of Wisconsin (Baraboo) Rural Program,0.63,0.34,0.88,0.32,0.67,0.44,0,0,Baraboo,WI,East North Central
University of Wisconsin (Madison) Program,0.71,0.32,0.95,0.34,0.6,0.28,0.02,0.02,Madison,WI,East North Central
University of Wisconsin School of Medicine and Public Health/Monroe Hospital Program,0.8,0.34,0,0.39,0,0.66,0,0,Monroe,WI,East North Central
University of Wyoming (Casper) Program,0.77,0.3,-,0.34,0.43,0.46,0.28,0.2,Casper,WY,Mountain
University of Wyoming (Cheyenne) Program,0.6,0.22,-,0.24,0.69,0.51,0.05,0.04,Cheyenne,WY,Mountain
University of Wyoming (Thermopolis) Program,-,-,-,-,-,-,-,-,Thermopolis,WY,Mountain
UPMC Medical Education (Harrisburg) Program,0.68,0.17,0.44,0.14,0,0.33,0,0,Harrisburg,PA,Middle Atlantic
UPMC Medical Education Program,0.73,0.09,0.31,0.1,0.33,0.25,0.03,0.1,Farrell,PA,Middle Atlantic
UPMC Medical Education Wellsboro/Cole Program,0,0.17,0.5,0.14,0.39,0.52,0.1,0,Williamsport,PA,Middle Atlantic
UPMC Medical Education/Altoona Hospital Program,0.38,0.14,0.61,0.12,0.76,0.42,0.04,0.03,Altoona,PA,Middle Atlantic
UPMC Medical Education/Lititz Program,0.45,0.33,0.5,0.3,0,0.54,0.02,0,Lititz,PA,Middle Atlantic
UPMC Medical Education/McKeesport Hospital Program,0.2,0.05,0.28,0.06,0.41,0.21,0.03,0.04,McKeesport,PA,Middle Atlantic
UPMC Medical Education/Presbyterian Shadyside Hospital Program,-,-,-,-,-,-,-,-,Pittsburgh,PA,Middle Atlantic
UPMC Medical Education/St Margaret Hospital Program,-,-,-,-,-,-,-,-,Pittsburgh,PA,Middle Atlantic
UPMC Medical Education/Williamsport Hospital Program,0.67,0.35,0.63,0.33,0.69,0.56,0.2,0,Williamsport,PA,Middle Atlantic
US Air Force Regional Hospital Program,-,-,-,-,-,-,-,-,Eglin AFB,FL,South Atlantic
USA Health Program,0.53,0.26,0.81,0.22,0.68,0.58,0.06,0,Mobile,AL,East South Central
Utah HealthCare Institute/St Mark's Program,0.4,0.1,1,0.13,0.37,0.08,0,0,Salt Lake City,UT,Mountain
Utah Valley Hospital Program,-,-,-,-,-,-,-,-,Provo,UT,Mountain
Valley Baptist Medical Center Program,-,-,-,-,-,-,-,-,Harlingen,TX,West South Central
Valley Consortium for Medical Education Family Medicine Program,0.48,0.25,0.47,0.25,0.46,0.51,0.22,0,Modesto,CA,Pacific
Valley Health System Program,0.68,0.06,0.95,0.08,0.46,0.21,0.07,0.03,Las Vegas,NV,Mountain
Valley Health System/Medical College of Virginia/Virginia Commonwealth University Program,0.69,0.21,0.68,0.18,0.4,0.39,0.04,0,Front Royal,VA,South Atlantic
"Valley Health Team, Inc. Program",0.38,0.05,0.27,0.06,0.19,0.15,0.06,0,Fresno,CA,Pacific
Valley Medical Center Program,0.54,0.25,0.58,0.24,0.54,0.26,0,0,Renton,WA,Pacific
VCU/Riverside Regional Medical Center Program,-,-,-,-,-,-,-,-,Newport News,VA,South Atlantic
Ventura County Medical Center Program,0.58,0.2,0.27,0.24,0.45,0.24,0.01,0,Ventura,CA,Pacific
Virginia Commonwealth University Health System Program,0.21,0.23,0.65,0.2,0.64,0.56,0.13,0.13,South Hill,VA,South Atlantic
Virginia Commonwealth University-Bon Secours (St Francis) Program,0.48,0.2,0.68,0.16,0.46,0.4,0.07,0.12,Midlothian,VA,South Atlantic
Virginia Mason Franciscan Health Program,-,-,0.6,0.44,0.7,0.58,0.06,0.17,Bremerton,WA,Pacific
Virtua Program,-,-,-,-,-,-,-,-,Voorhees,NJ,Middle Atlantic
Virtua/Rowan University School of Osteopathic Medicine - Ambulatory Clinics Program,0.62,0.21,0.77,0.19,0,0.43,0,0,Stratford,NJ,Middle Atlantic
Virtua/Virtua-West Jersey Hospital Voorhees Program,0.31,0.23,0.76,0.2,0.38,0.53,0.17,0,Voorhees,NJ,Middle Atlantic
Waco Family Medicine - Institute Program,0.57,0.15,0.43,0.16,0.42,0.24,0,0,Waco,TX,West South Central
Wake Forest University Baptist Medical Center Program,0.66,0.22,0.51,0.27,0.49,0.21,0,0,Winston-Salem,NC,South Atlantic
Washington Health System Program,0.58,0.22,0.68,0.18,0.77,0.56,0.02,0.01,Washington,PA,Middle Atlantic
Wayne State University School of Medicine Program,0.43,0.06,0.46,0.07,0.32,0.2,0.04,0.09,Rochester,MI,East North Central
Wellmont Health System/Lonesome Pine Hospital Program,0.08,0.03,0.14,0.03,0,0.15,0.01,0,Big Stone Gap,VA,South Atlantic
Wellspan Health/Chambersburg Hospital Program,-,-,-,-,-,-,-,-,Chambersburg,PA,Middle Atlantic
Wellspan Health/Good Samaritan Hospital Program,0.22,0.07,0.57,0.07,0.57,0.27,0.03,0.07,Lebanon,PA,Middle Atlantic
Wellspan Health/York Hospital Program,0.51,0.14,0.72,0.12,0.65,0.5,0.01,0,York,PA,Middle Atlantic
Wellstar Health System/Wellstar Douglas Medical Center Program,0.43,0.09,0.57,0.11,0.48,0.35,0.05,0.07,Morrow,GA,South Atlantic
Wellstar Health System/Wellstar Kennestone Regional Medical Center Program,0.39,0.07,0.63,0.09,0.3,0.38,0.06,0,Smyrna,GA,South Atlantic
West Suburban Medical Center Program,0.29,0.14,0.54,0.1,0.41,0.17,0.06,0.06,Oak Park,IL,East North Central
West Virginia University Program,0.6,0.18,0.7,0.16,0.57,0.33,0.05,0.04,Morgantown,WV,South Atlantic
West Virginia University Rural Program,-,-,-,-,-,-,-,-,Harpers Ferry,WV,South Atlantic
"Westchester General Hospital, Inc. Program",0.22,0.03,0.17,0.06,0.07,0.04,0.06,0.04,Miami,FL,South Atlantic
Western Michigan University Homer Stryker MD School of Medicine (Battle Creek) Program,0.08,0.05,0.4,0.04,0.35,0.35,0.02,0.04,Battle Creek,MI,East North Central
Western Michigan University Homer Stryker MD School of Medicine (Kalamazoo) Program,0.19,0.15,0.75,0.12,0.65,0.52,0.06,0.08,Kalamazoo,MI,East North Central
Western Reserve Health Education/NEOMED Program,0.17,0.13,0.35,0.12,0.27,0.27,0.18,0.07,Warren,OH,East North Central
Western Reserve Hospital Program,0.25,0.1,0.82,0.06,0.38,0.51,0,0.01,Cuyahoga Falls,OH,East North Central
Wheeling Hospital Program,0.19,0.13,0.9,0.12,0.59,0.5,0.07,0.08,Wheeling,WV,South Atlantic
WiNC (Wisconsin Northern & Central) GME Consortium/Aspirus (Wausau) Program,0.67,0.37,0.9,0.34,0.8,0.57,0.2,0.06,Wausau,WI,East North Central
WiNC (Wisconsin Northern & Central) GME Consortium/MCW-Fox Valley (Appleton) Program,0.83,0.38,0.92,0.36,0.72,0.47,0.11,0,Appleton,WI,East North Central
WiNC (Wisconsin Northern & Central) GME Consortium/MCW-Prevea (Green Bay) Program,0.36,0.43,0.96,0.38,0.84,0.7,0.31,0.03,Green Bay,WI,East North Central
Womack Army Medical Center Program,-,-,-,-,-,-,-,-,Fort Liberty,NC,South Atlantic
Wright Center for Graduate Medical Education (Kingston) Program,0.13,0.15,0.43,0.14,0.5,0.42,0.03,0.17,Wilkes Barre,PA,Middle Atlantic
Wright Center for Graduate Medical Education (National) Program,-,-,-,-,-,-,-,-,Scranton,PA,Middle Atlantic
Wright State University Boonshoft School of Medicine Program,0.26,0.14,0.83,0.11,0.57,0.51,0.04,0.05,Greenville,OH,East North Central
Wright State University/Dayton Community Hospitals Program,0.55,0.27,0.74,0.21,0.57,0.5,0.02,0.03,Dayton,OH,East North Central
Yakima Valley Farm Workers Clinic/Sollus Northwest Program,0.25,0.3,0.5,0.29,0.42,0.45,0.1,0,Grandview,WA,Pacific
Yuma Regional Medical Center Program,0.19,0.14,0.47,0.13,0.35,0.36,0.09,0.15,Yuma,AZ,Mountain
Zucker School of Medicine at Hofstra/Northwell at Glen Cove Hospital Program,-,-,0.33,0.04,0.34,0.23,0.03,0.01,Glen Cove,NY,Middle Atlantic
Zucker School of Medicine at Hofstra/Northwell at Peconic Bay Medical Center Program,0.73,0.02,0.41,0.05,0.08,0.29,0.04,0.04,Riverhead,NY,Middle Atlantic
Zucker School of Medicine at Hofstra/Northwell at Phelps Hospital Program,0.38,0.14,0.41,0.1,0.5,0.25,0.05,0.01,Sleepy Hollow,NY,Middle Atlantic
Zucker School of Medicine at Hofstra/Northwell at Plainview Hospital Program,0.34,0.07,0.4,0.06,0.32,0.32,0.01,0.01,Plainview,NY,Middle Atlant
